Source,Target,Organizer,Weight
National Academy of Science Workshop_2010,Workshop_2010,Katy Börner,2
Monroe County Public Library_2007,New York Hall of Science_2006,Katy Börner,2
National Academy of Science Workshop_2010,National Academy of Sciences_2013,Katy Börner,1
Monroe County Public Library_2007,University of North Carolina_2011,Katy Börner,1
Monroe County Public Library_2007,University of Pittsburgh_2012,Katy Börner,1
Monroe County Public Library_2007,VIVO 2011 Conference_2011,Katy Börner,1
Monroe County Public Library_2007,Workshop_2010,Katy Börner,1
Monroe County Public Library_2007,i-Light Symposium 2005_2005,Katy Börner,1
National Academy of Science Workshop_2010,National Academy of Sciences_2011,Katy Börner,1
National Academy of Science Workshop_2010,National Cancer Institute_2006,Katy Börner,1
Monroe County Public Library_2007,University Collections at McCalla_2024,Katy Börner,1
National Academy of Science Workshop_2010,National Institute of Informatics_2005,Katy Börner,1
National Academy of Science Workshop_2010,National Institute of Informatics_2007,Katy Börner,1
National Academy of Science Workshop_2010,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Börner,1
National Academy of Science Workshop_2010,National Institutes of Health_2012,Katy Börner,1
National Academy of Science Workshop_2010,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Börner,1
National Academy of Science Workshop_2010,New Network Theory Conference Keynote_2007,Katy Börner,1
Monroe County Public Library_2007,University of Florida_2010,Katy Börner,1
101st Annual Meeting of the Association of American Geographer_2005,ESRI DC Office Vienna_2005,Deborah MacPherson,1
National Academy of Science Workshop_2010,New York Hall of Science_2008,Katy Börner,1
Monroe County Public Library_2007,Remote_2023,Katy Börner,1
Monroe County Public Library_2007,New Network Theory Conference Keynote_2007,Katy Börner,1
Monroe County Public Library_2007,New York Hall of Science_2008,Katy Börner,1
Monroe County Public Library_2007,New York Hall of Science_2009,Katy Börner,1
Monroe County Public Library_2007,Northwestern University_2011,Katy Börner,1
Monroe County Public Library_2007,OSTI Meeting_2008,Katy Börner,1
Monroe County Public Library_2007,Purdue University_2011,Katy Börner,1
Monroe County Public Library_2007,San Diego Marriott_2008,Katy Börner,1
Monroe County Public Library_2007,UQÀM_2022,Katy Börner,1
Monroe County Public Library_2007,Science of Science Policy Workshop_2006,Katy Börner,1
Monroe County Public Library_2007,Scientific Mapping and Analytics_2011,Katy Börner,1
Monroe County Public Library_2007,"State House, Indianapolis_2006",Katy Börner,1
Monroe County Public Library_2007,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Börner,1
Monroe County Public Library_2007,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Börner,1
Monroe County Public Library_2007,UCD Conference_2010,Katy Börner,1
National Academy of Science Workshop_2010,New York Hall of Science_2006,Katy Börner,1
National Academy of Science Workshop_2010,New York Hall of Science_2009,Katy Börner,1
Kavli Royal Society International Center_2010,National Academy of Science Workshop_2010,Katy Börner,1
National Academy of Sciences_2011,New Network Theory Conference Keynote_2007,Katy Börner,1
National Academy of Sciences_2011,National Cancer Institute_2006,Katy Börner,1
National Academy of Sciences_2011,National Institute of Informatics_2005,Katy Börner,1
National Academy of Sciences_2011,National Institute of Informatics_2007,Katy Börner,1
National Academy of Sciences_2011,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Börner,1
National Academy of Sciences_2011,National Institutes of Health_2012,Katy Börner,1
National Academy of Sciences_2011,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Börner,1
National Academy of Sciences_2011,New York Hall of Science_2006,Katy Börner,1
