Source,Target,Organizer,Weight,Interval,src_lat,src_lon,tgt_lat,tgt_lon,Source_Year,Target_Year,Edge_Year,Edge_Year (Time)
National Academy of Science Workshop_2010,Workshop_2010,Katy Borner,2,2010 to 2014,38.89764651,-77.03618487,38.89652172,-77.03893099,2010,2010,2010,2010-01-01 00:00:00
Monroe County Public Library_2007,New York Hall of Science_2006,Katy Borner,2,2005 to 2009,39.16875769,-86.53432796,40.71384544,-73.82887484,2007,2006,2006,2006-01-01 00:00:00
National Academy of Science Workshop_2010,National Academy of Sciences_2013,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,38.89117267,-77.03555228,2010,2013,2010,2010-01-01 00:00:00
Monroe County Public Library_2007,i-Light Symposium 2005_2005,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,39.76552166,-86.16352641,2007,2005,2005,2005-01-01 00:00:00
National Academy of Science Workshop_2010,National Academy of Sciences_2011,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,38.87560932,-77.09326177,2010,2011,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,National Institutes of Health_2012,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,38.88880811,-77.04481698,2010,2012,2010,2010-01-01 00:00:00
101st Annual Meeting of the Association of American Geographer_2005,ESRI DC Office Vienna_2005,Deborah MacPherson,1,2005 to 2009,39.74171997,-104.9951992,38.88641221,-77.03707785,2005,2005,2005,2005-01-01 00:00:00
Monroe County Public Library_2007,New Network Theory Conference Keynote_2007,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,52.36888351,4.888075309,2007,2007,2007,2007-01-01 00:00:00
Monroe County Public Library_2007,New York Hall of Science_2008,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,40.71529336,-73.82546021,2007,2008,2007,2007-01-01 00:00:00
Monroe County Public Library_2007,New York Hall of Science_2009,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,40.70391394,-73.82247429,2007,2009,2007,2007-01-01 00:00:00
Monroe County Public Library_2007,OSTI Meeting_2008,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,36.01216318,-84.27083964,2007,2008,2007,2007-01-01 00:00:00
Monroe County Public Library_2007,San Diego Marriott_2008,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,32.83022446,-117.2713609,2007,2008,2007,2007-01-01 00:00:00
Monroe County Public Library_2007,Science of Science Policy Workshop_2006,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,60.17160082,24.94563008,2007,2006,2006,2006-01-01 00:00:00
Monroe County Public Library_2007,"State House, Indianapolis_2006",Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,39.77021159,-86.16122929,2007,2006,2006,2006-01-01 00:00:00
Monroe County Public Library_2007,"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006",Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,33.74598921,-84.39163966,2007,2006,2006,2006-01-01 00:00:00
Monroe County Public Library_2007,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,40.06909293,-88.22313709,2007,2005,2005,2005-01-01 00:00:00
Kavli Royal Society International Center_2010,National Academy of Science Workshop_2010,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,38.89764651,-77.03618487,2010,2010,2010,2010-01-01 00:00:00
National Academy of Sciences_2011,National Institutes of Health_2012,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,38.88880811,-77.04481698,2011,2012,2011,2011-01-01 00:00:00
National Academy of Sciences_2011,Northwestern University_2011,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,41.87198984,-87.62931502,2011,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2011,Purdue University_2011,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,39.77161587,-86.16296103,2011,2011,2011,2011-01-01 00:00:00
National Academy of Sciences_2011,National Academy of Sciences_2013,Katy Borner,1,2010 to 2014,38.87560932,-77.09326177,38.89117267,-77.03555228,2011,2013,2011,2011-01-01 00:00:00
National Academy of Science Workshop_2010,VIVO 2011 Conference_2011,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,38.89126812,-77.03682062,2010,2011,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,Northwestern University_2011,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,41.87198984,-87.62931502,2010,2011,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,Purdue University_2011,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,39.77161587,-86.16296103,2010,2011,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,Scientific Mapping and Analytics_2011,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,35.69154502,-105.9316778,2010,2011,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,University of Pittsburgh_2012,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,40.44276457,-79.99514662,2010,2012,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,UCD Conference_2010,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,53.35328861,-6.264808522,2010,2010,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,University of Florida_2010,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,29.64945102,-82.31660241,2010,2010,2010,2010-01-01 00:00:00
National Academy of Science Workshop_2010,University of North Carolina_2011,Katy Borner,1,2010 to 2014,38.89764651,-77.03618487,35.23202548,-80.84695165,2010,2011,2010,2010-01-01 00:00:00
Monroe County Public Library_2007,"New Horizons in Internet Site Development Workshop, Banbury Center, Cold Spring Harbor Laboratory_2006",Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,40.86115082,-73.43750812,2007,2006,2006,2006-01-01 00:00:00
Monroe County Public Library_2007,National Institute of Science and Technology Policy (NISTEP)_2007,Katy Borner,1,2005 to 2009,39.16875769,-86.53432796,35.67535458,139.7567834,2007,2007,2007,2007-01-01 00:00:00
Kavli Royal Society International Center_2010,University of Florida_2010,Katy Borner,1,2010 to 2014,51.50084332,-0.132045719,29.64945102,-82.31660241,2010,2010,2010,2010-01-01 00:00:00
