Id,Venue,City,State,Country,Year,Start Date,End Date,Event Duration (Days),Latitude,Longitude,Title,Organizers,Degree,Interval,lat,lon,Year (Time)
101st Annual Meeting of the Association of American Geographer_2005,101st Annual Meeting of the Association of American Geographer,Denver,Colorado,United States,2005,2005-04-05,2005-04-09,5,39.7392364,-104.984862,101st Annual Meeting of the Association of American Geographer,"Deborah MacPherson, Katy Borner",69,2005 to 2009,39.74171997,-104.9951992,2005-01-01 00:00:00
Lorentz Workshop_2005,Lorentz Workshop,Leiden,,Netherlands,2005,2005-04-07,2005-04-11,5,52.1594747,4.4908843,Simulating the Social Processes of Science,Andrea Scharnhorst,15,2005 to 2009,52.15878338,4.4904387,2005-01-01 00:00:00
"SLIS, Indiana University_2005","SLIS, Indiana University",Bloomington,Indiana,United States,2005,2005-04-25,2005-04-25,1,39.1670396,-86.5342881,Networks and Complex Systems Talk Series,Peter A. Hook,2,2005 to 2009,39.17027804,-86.54081045,2005-01-01 00:00:00
Abdus Salam International Centre for Theoretical Physics (ICTP)_2005,Abdus Salam International Centre for Theoretical Physics (ICTP),Trieste,,Italy,2005,2005-05-15,2005-05-27,13,45.6496485,13.7772781,School and Workshop on Structure and Function of Complex Networks,Katy Borner,63,2005 to 2009,45.65726365,13.78062646,2005-01-01 00:00:00
University of Illinois_2005,University of Illinois,Urbana-Champaign,Illinois,United States,2005,2005-05-17,2005-05-20,4,40.07615445,-88.22331341,Understanding Complex Systems 2004 Symposium,Peter A. Hook,2,2005 to 2009,40.07498368,-88.22148042,2005-01-01 00:00:00
Sixth Annual Alliance for Innovation in Science and Technology Information Mini-Conference_2005,Sixth Annual Alliance for Innovation in Science and Technology Information Mini-Conference,Santa Fe,New Mexico,United States,2005,2005-05-25,2005-05-26,2,35.6876096,-105.938456,Sixth Annual Alliance for Innovation in Science and Technology Information Mini-Conference,Peter A. Hook,2,2005 to 2009,35.68643892,-105.9431554,2005-01-01 00:00:00
San Diego University_2005,San Diego University,San Diego,California,United States,2005,2005-07-01,2005-07-20,20,32.7174202,-117.162772,Visualization Lab,"John Graham, Eric Frost, Bonnie DeVarco",4,2005 to 2009,32.72531626,-117.1653413,2005-01-01 00:00:00
Information Visualization Conference_2005,Information Visualization Conference,London,,United Kingdom,2005,2005-07-06,2005-07-08,3,51.5074456,-0.1277653,Information Visualization Conference,Katy Borner,63,2005 to 2009,51.51128277,-0.133061368,2005-01-01 00:00:00
Los Alamos National Laboratory_2005,Los Alamos National Laboratory,Los Alamos,New Mexico,United States,2005,2005-07-10,2005-07-20,11,35.88137,-106.298959,Los Alamos National Laboratory,Ketan Mane,1,2005 to 2009,35.87902263,-106.2992724,2005-01-01 00:00:00
International Conference of the International Society for Scientometrics and Informetrics_2005,International Conference of the International Society for Scientometrics and Informetrics,Stockholm,,Sweden,2005,2005-07-24,2005-07-28,5,59.3251172,18.0710935,10th International Conference of the International Society for Scientometrics and Informetrics,Katy Borner,63,2005 to 2009,59.32783,18.07586921,2005-01-01 00:00:00
San Diego Convention Center_2005,San Diego Convention Center,San Diego,California,United States,2005,2005-07-25,2005-07-29,5,32.7174202,-117.162772,ESRI International User Conference,Bonnie DeVarco,4,2005 to 2009,32.71510311,-117.1677006,2005-01-01 00:00:00
ESRI Headquaters_2005,ESRI Headquaters,Redlands,California,United States,2005,2005-07-30,2005-08-15,17,34.0550328,-117.1827445,ESRI Headquaters,"Wendy McKinney, Jenni McCormick",1,2005 to 2009,34.05270415,-117.1802243,2005-01-01 00:00:00
Wikimania 2005: The First International Wikimedia Conference_2005,Wikimania 2005: The First International Wikimedia Conference,Frankfurt,,Germany,2005,2005-08-04,2005-08-08,5,50.1106444,8.6820917,Wikimania 2005: The First International Wikimedia Conference,Jakob Voss,,2005 to 2009,50.11185421,8.679440412,2005-01-01 00:00:00
ESRI Regional Office_2005,ESRI Regional Office,Redlands,California,United States,2005,2005-08-15,2005-08-20,6,34.0550328,-117.1827445,ESRI Regional Office,Wendy McKinney,1,2005 to 2009,34.0454664,-117.1867089,2005-01-01 00:00:00
