Id,Venue_Name,City,State,Country,Year,start,end,Title,Organizers,Degree
101st Annual Meeting of the Association of American Geographer_2005,101st Annual Meeting of the Association of American Geographer,Denver,Colorado,United States,2005,2005-04-05,2005-04-09,101st Annual Meeting of the Association of American Geographer,"Deborah MacPherson, Katy Börner",69
Lorentz Workshop_2005,Lorentz Workshop,Leiden,,Netherlands,2005,2005-04-07,2005-04-11,Simulating the Social Processes of Science,Andrea Scharnhorst,15
"SLIS, Indiana University_2005","SLIS, Indiana University",Bloomington,Indiana,United States,2005,2005-04-25,2005-04-25,Networks and Complex Systems Talk Series,Peter A. Hook,2
Abdus Salam International Centre for Theoretical Physics (ICTP)_2005,Abdus Salam International Centre for Theoretical Physics (ICTP),Trieste,,Italy,2005,2005-05-15,2005-05-27,School and Workshop on Structure and Function of Complex Networks,Katy Börner,63
University of Illinois_2005,University of Illinois,Urbana-Champaign,Illinois,United States,2005,2005-05-17,2005-05-20,Understanding Complex Systems 2004 Symposium,Peter A. Hook,2
Sixth Annual Alliance for Innovation in Science and Technology Information Mini-Conference_2005,Sixth Annual Alliance for Innovation in Science and Technology Information Mini-Conference,Santa Fe,New Mexico,United States,2005,2005-05-25,2005-05-26,Sixth Annual Alliance for Innovation in Science and Technology Information Mini-Conference,Peter A. Hook,2
San Diego University_2005,San Diego University,San Diego,California,United States,2005,2005-07-01,2005-07-20,Visualization Lab,"John Graham, Eric Frost, Bonnie DeVarco",4
Information Visualization Conference_2005,Information Visualization Conference,London,,United Kingdom,2005,2005-07-06,2005-07-08,Information Visualization Conference,Katy Börner,63
Los Alamos National Laboratory_2005,Los Alamos National Laboratory,Los Alamos,New Mexico,United States,2005,2005-07-10,2005-07-20,Los Alamos National Laboratory,Ketan Mane,1
International Conference of the International Society for Scientometrics and Informetrics_2005,International Conference of the International Society for Scientometrics and Informetrics,Stockholm,,Sweden,2005,2005-07-24,2005-07-28,10th International Conference of the International Society for Scientometrics and Informetrics,Katy Börner,63
San Diego Convention Center_2005,San Diego Convention Center,San Diego,California,United States,2005,2005-07-25,2005-07-29,ESRI International User Conference,Bonnie DeVarco,4
ESRI Headquaters_2005,ESRI Headquaters,Redlands,California,United States,2005,2005-07-30,2005-08-15,ESRI Headquaters,"Wendy McKinney, Jenni McCormick",1
Wikimania 2005: The First International Wikimedia Conference_2005,Wikimania 2005: The First International Wikimedia Conference,Frankfurt,,Germany,2005,2005-08-04,2005-08-08,Wikimania 2005: The First International Wikimedia Conference,Jakob Voss,
ESRI Regional Office_2005,ESRI Regional Office,Redlands,California,United States,2005,2005-08-15,2005-08-20,ESRI Regional Office,Wendy McKinney,1
ESRI DC Office Vienna_2005,ESRI DC Office Vienna,"Washington, DC",,United States,2005,2005-09-01,2005-09-30,ESRI DC Office Vienna,Deborah MacPherson,6
i-Light Symposium 2005_2005,i-Light Symposium 2005,Indianapolis,Indiana,United States,2005,2005-09-20,2005-09-21,i-Light Symposium 2005,Katy Börner,63
"Lilly Library, Indiana University_2005","Lilly Library, Indiana University",Bloomington,Indiana,United States,2005,2005-10-03,2005-10-03,InfoVis Lab Open House,,
Annual Meeting of the Society for Social Studies of Sciences_2005,Annual Meeting of the Society for Social Studies of Sciences,Pasadena,California,United States,2005,2005-10-20,2005-10-22,Annual Meeting of the Society for Social Studies of Sciences,"Katy Börner, Kevin Boyack, Kelly Sutton",63
Indiana University_2005,Indiana University,Bloomington,Indiana,United States,2005,2005-11-01,2005-11-01,Places & Spaces Open Air,,
This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign_2005,This Exhibit was supported by the UIUC Center for Advanced Study as part of the Age of Networks initiative Urbana-Champaign,Urbana-Champaign,Illinois,United States,2005,2005-11-03,2005-11-05,The National Center for Supercomputing Applications (NCSA),"Katy Börner, Hank Green",63
National Institute of Informatics_2005,National Institute of Informatics,Tokyo,,United States,2005,2005-11-21,2005-11-21,National Institute of Informatics,"Katy Börner, Ryutaru Ichise",63
Thomson Scientific/ISI_2005,Thomson Scientific/ISI,Philadelphia,Pennsylvania,United States,2005,2005-12-01,2005-12-02,Informal Meeting for Mapping Science,,
New York Hall of Science_2006,New York Hall of Science,Queens,New York,United States,2006,2006-01-01,2006-01-01,New York Hall of Science | Workshop on Science (Weather) Forecasts,"Julie Smith, Katy Börner | Marcia Rudy",63
"Science, Industry and Business Library of The New York Public Library_2006","Science, Industry and Business Library of The New York Public Library",New York City,New York,United States,2006,2006-01-01,2006-01-01,"Science, Industry and Business Library of The New York Public Library",John Ganly,
National Science Foundation_2006,National Science Foundation,"Washington, DC",,United States,2006,2006-01-18,2006-02-02,National Science Foundation,"Deborah MacPherson, Janice M. Hicks",7
National Institutes of Health_2006,National Institutes of Health,"Washington, DC",,United States,2006,2006-02-03,2006-02-08,Symposium on Knowledge Discovery and Knowledge Management Tools,"Deborah MacPherson, Jessica Clausen",6
"Institute for the Future Workshop, Rockefeller Foundation_2006","Institute for the Future Workshop, Rockefeller Foundation",New York City,New York,United States,2006,2006-02-27,2006-02-27,The Future of Science and Technology,Katy Börner,63
"State House, Indianapolis_2006","State House, Indianapolis",Indianapolis,Indiana,United States,2006,2006-03-01,2006-03-01,Life Sciences Exhibit & Reception,Katy Börner,63
"The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology_2006","The College of Management at Georgia Tech, Technology Square, Georgia Institute of Technology",Atlanta,Georgia,United States,2006,2006-03-18,2006-03-20,"The Atlanta Conference on Science and Technology Policy, The Georgia Tech School of Public Policy, PRIME Network of Excellence","Katy Börner, Elena B. Harari",63
Creative Good_2006,Creative Good,New York City,New York,United States,2006,2006-05-04,2006-05-05,Gel Conference,Mark Hurst,
CENDI & NFAIS_2006,CENDI & NFAIS,"Washington, DC",,United States,2006,2006-05-04,2006-05-04,The Visualization of Textual Information Workshop,"Debbie MacPherson, Bonnie Carroll",
CERC3 Chemistry Funding Agencies Meeting_2006,CERC3 Chemistry Funding Agencies Meeting,Amsterdam,,Netherlands,2006,2006-05-13,2006-05-13,CERC3 Chemistry Funding Agencies Meeting,Janice M. Hicks,1
